benchmark,variant,seed,fallback_status,compiler_status,fallback_property_id,compiler_property_id,fallback_cycles_to_failure,compiler_cycles_to_failure,fallback_commits_to_failure,compiler_commits_to_failure,fallback_event_count,compiler_event_count,same_property,same_event_count,first_divergence,likely_root_cause,notes
commanded_actuator_limit_bug,fixed,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33326,NOT_RUN,33331,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
late_config_sequence_bug,failing,1,NOT_RUN,PASS,5,5,NOT_RUN,59,NOT_RUN,16,NOT_RUN,19,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
late_config_sequence_bug,failing,2,NOT_RUN,PASS,5,5,NOT_RUN,59,NOT_RUN,16,NOT_RUN,19,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
late_config_sequence_bug,failing,3,NOT_RUN,PASS,5,5,NOT_RUN,59,NOT_RUN,16,NOT_RUN,19,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
late_config_sequence_bug,fixed,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,33332,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
late_config_sequence_bug,fixed,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,33332,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
late_config_sequence_bug,fixed,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,33332,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_debounce_bug,failing,1,NOT_RUN,PASS,3,3,NOT_RUN,130,NOT_RUN,31,NOT_RUN,45,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_debounce_bug,failing,2,NOT_RUN,PASS,3,3,NOT_RUN,130,NOT_RUN,31,NOT_RUN,45,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_debounce_bug,failing,3,NOT_RUN,PASS,3,3,NOT_RUN,130,NOT_RUN,31,NOT_RUN,45,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_debounce_bug,fixed,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,33332,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
